index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,dr2_radial_velocity,dr2_radial_velocity_error,e_Gmag,e_BPmag,e_RPmag,bp_rp,hdbscan
3464,318223202227962624,27.56776755160884,0.020225912,35.35881109379702,0.01545854,1.9534055682543596,0.01897289,14.671955,10.506125845572008,0.025930192,-10.241464636125968,0.019658063,36620.75863058392,8.736272,14.2780485,15444.497694915386,21.775602,14.866608,29994.00621829425,26.01092,13.555309,,,0.0002590139352572847,0.0015308079251801824,0.0009415547012136808,1.311299,268
3647,318232853018089472,27.202516578367785,0.22614494,35.396359726272415,0.20557861,2.112153439630912,0.27549088,16.120638,10.750215432083127,0.28164288,-12.012819055987643,0.25799417,664.7201125613562,1.6429087,18.63077,137.46812911440202,17.255756,19.993036,837.3782333923167,13.373943,17.440592,,,0.0026834835037994487,0.13628758280459866,0.017340520133473036,2.5524440000000013,268
5431,318269961536387328,27.79517959768904,0.22400156,35.78050639204258,0.21924835,2.044952058429549,0.27428448,15.193239,10.322384562759694,0.32448813,-11.148224159920828,0.29022363,501.6676664936764,1.4984065,18.936327,111.49578072583311,12.776842,20.220396,638.3780151554247,16.325256,17.7352,,,0.003242932114532478,0.12441977491494545,0.027765557507223093,2.485196000000002,268
6379,318292089207130752,27.198465805421325,0.11339836,35.72307756856176,0.11419189,2.0568201340441523,0.13807294,15.080875,10.844781987866403,0.14583543,-10.47967140204635,0.15514544,1153.1006507281818,1.9915196,18.0327,221.34054199041807,14.742371,19.47589,1396.1877792787418,9.520344,16.885536,,,0.001875174496554104,0.07231538241814385,0.007403432629879927,2.5903540000000014,268
14024,344092885468413696,28.02677739924357,0.3259038,39.943057710593024,0.36469886,1.9644811036570824,0.37960997,15.094495,8.891794450467197,0.4828639,-12.197530857110063,0.4410355,395.5871164904846,1.7665467,19.194262,66.5706722338406,6.7597027,20.780334,551.489664976836,8.421601,17.894053,,,0.004848498926360088,0.11024755659685884,0.016579888415699188,2.8862810000000003,268
14499,342380842784700800,28.11536378036473,0.23712197,36.54529661592948,0.23897901,2.4599606381314043,0.30405894,15.5668545,10.512966489756588,0.28190407,-11.480614064686325,0.30136535,410.1935786961931,1.3338262,19.154894,74.16637624184372,6.8679976,20.663025,555.1032019444186,8.973408,17.886961,,,0.003530487729227825,0.10054197098960986,0.017551247968916883,2.7760640000000016,268
14720,342382732569574656,28.15844063780681,0.16802913,36.60726333549578,0.17497638,2.113718768547189,0.20338984,15.816065,11.13181710370062,0.2215985,-11.235237392487509,0.21840471,627.920376282376,1.6013448,18.692606,112.22292098336412,8.055646,20.213339,799.7752483200468,12.833334,17.490475,,,0.0027688829528909886,0.07793689950568614,0.017421913694905495,2.7228640000000013,268
20196,344137179468241536,28.853382159485417,0.0779057,40.15443598516173,0.06486363,2.080526510529261,0.092595614,15.506826,10.59006350936036,0.075752065,-11.327498616438325,0.08433644,3057.351208005908,2.7353458,16.974003,862.2816251858696,10.017125,17.99942,3236.30810759383,11.237122,15.972771,,,0.0009713846285687669,0.012612996685095088,0.0037698976077265695,2.026649000000001,268
21869,342451215824120576,29.16123209228928,0.018035382,36.90948369780327,0.01658532,2.2141448492362024,0.019474406,15.270349,9.618601794004338,0.023116255,-11.860271221409633,0.022560759,487509.46552556974,155.56578,11.467409,284365.329615019,97.00085,11.703851,294126.60906496726,114.98823,11.07656,6.992021,0.22951943,0.000346461784870881,0.00037035926594811635,0.00042446647322710764,0.6272909999999996,268
22407,342457160058842624,29.223208924139232,0.023490675,37.10404412665375,0.023056459,2.2595536345563225,0.027980274,15.448377,9.712092235522114,0.02770963,-12.013641878792583,0.032758906,21437.121676482508,8.162352,14.85945,9086.077018059575,22.412212,15.442601,17616.915121214544,28.718206,14.133071,,,0.0004134025647716558,0.0026781360039925487,0.001769912369751629,1.3095300000000005,268
22621,342459256002883584,29.401980236519865,0.012812905,37.08557507904778,0.012932808,2.202094307992515,0.014264374,15.131786,9.630275395133577,0.016378887,-11.671706908434228,0.017082881,116520.62459855524,38.52712,13.021359,57642.69596604993,63.94624,13.436682,83636.16560155376,71.96747,12.44191,5.961739,9.002449,0.0003589947204040278,0.0012044673963036746,0.0009342571742958159,0.9947719999999993,268
